study_id,include,author_year,bibtype,abstract,author,isbn,journal,keywords,pages,title,url,volume,year,number,annote,doi,edition,language,pmid,round1inc,round1rev,round2inc,round2rev,reviewers,ft_rev,downloaded,csv_name,reason,notes,mex_name,in_codes_db,article_type
int j antimicrob agents. 2012 jun;39(6):518-21. doi: 10.1016/j.ijantimicag.2012.01.020. epub 2012 apr 5.",10.1016/j.ijantimicag.2012.01.020,4/10/12,eng,22483560,yes,erica,yes,zach,zach,zach_4,yes,zm_4.csv,NA,NA,zm_4_2.mex,yes,journal
11023,yes,kothary2013,article,"Escherichia coli is implicated in the pathogenesis of inflammatory bowel disease (IBD). Rifaximin, a nonabsorbable derivative of rifampin effective against E. coli, improves symptoms in mild-to-moderate IBD. However, rifaximin resistance can develop in a single step in vitro. We examined the prevalence and mechanisms of rifaximin resistance in 62 strains of E. coli isolated from the ileal mucosa of 50 patients (19 with ileal Crohn's disease [L1+L3], 6 with colonic Crohn's disease [L2], 13 with ulcerative colitis [UC], 4 with symptomatic non-IBD diagnoses [NI], and 8 healthy [H]). Resistance (MIC {\textgreater} 1,024 mg/liter) was present in 12/48 IBD-associated ileal E. coli strains. Resistance correlated with prior rifaximin treatment (P {\textless} 0.00000001) but not with the presence of ileal inflammation (P = 0.73) or E. coli phylogroup. Mutations in a 1,057-bp region of rpoB, which encodes the bacterial target of rifaximin, were identified in 10/12 resistant strains versus 0/50 sensitive strains (P {\textless} 0.000000001) and consisted of seven amino acid substitutions. The efflux pump inhibitor Phe-Arg-beta-naphthylamide (PAbetaN) lowered the MIC of 9/12 resistant strains 8- to 128-fold. Resistance was stable in the absence of rifaximin in 10/12 resistant strains after 30 passages. We conclude that IBD-associated ileal E. coli frequently manifest resistance to rifaximin that correlates with prior rifaximin use, amino acid substitutions in rpoB, and activity of PAbetaN-inhibitable efflux pumps, but not with the presence of ileal inflammation or E. coli phylogroup. These findings have significant implications for treatment trials targeting IBD-associated E. coli.",V Kothary and E J Scherl and B Bosworth and Z D Jiang and H L Dupont and J Harel and K W Simpson and B Dogan,0066-4804,Antimicrob Agents Chemother,"Amino Acid Substitution,Anti-Bacterial Agents,Anti-Infective Agents/*pharmacology,Colitis, Ulcerative/microbiology,Crohn Disease/microbiology,DNA-Directed RNA Polymerases,Dipeptides/pharmacology,Drug Resistance, Bacterial,Escherichia coli Proteins/*genetics,Escherichia coli/*drug effects/genetics/isolation,Humans,Ileum/microbiology,Intestinal Mucosa/drug effects/microbiology/pathol,Membrane Transport Proteins/drug effects/*metaboli,Microbial Sensitivity Tests,Mutation,Rifampin/pharmacology,Rifamycins/*pharmacology",811--817,"{Rifaximin resistance in Escherichia coli associated with inflammatory bowel disease correlates with prior rifaximin use, mutations in rpoB, and activity of Phe-Arg-beta-naphthylamide-inhibitable efflux pumps}",NA,57,2013,2,"1098-6596
kothary, vishesh
scherl, ellen j
bosworth, brian
jiang, zhi-dong
dupont, herbert l
harel, josee
simpson, kenneth w
dogan, belgin
journal article
research support, non-u.s. gov't
united states
antimicrob agents chemother. 2013 feb;57(2):811-7. doi: 10.1128/aac.02163-12. epub 2012 nov 26.",10.1128/aac.02163-12,11/28/12,eng,23183443,maybe,cale,yes,brooke,brooke,zach_4,yes,zm_4.csv,NA,NA,zm_4_2.mex,yes,journal
11202,yes,kulkova2015a,article,"Occurrence of carbapenemase-producing organisms, including New Delhi metallo-beta-lactamase-1 (NDM-1) is increasingly reported worldwide. The aim of this study was to assess the distribution of carbapenemase producers among multidrug-resistant Gram-negative bacteria isolated from blood cultures. All carbapenem-resistant strains collected from December 2011 to December 2012 were analyzed. Presence of carbapenemases was assessed with combined disc test and Carba NP test followed by polymerase chain reaction for carbapenemase genes. Altogether, 30 strains were detected, of which 7 were positive for VIM (23.3{\%}), 6 for NDM-1 (20{\%}), 5 for IMP (16.7{\%}), and KPC was present in one isolate (3.3{\%}). Four Pseudomonas aeruginosa strains were found to produce more than one carbapenemase. We also present the case report of a patient with Acinetobacter baumannii ventilator-associated pneumonia, followed by sepsis due to Enterococcus faecalis and pan-resistant NDM-1-producing P. aeruginosa. Despite the inappropriate therapy, the patient was successfully treated. This is the first report of NDM-1-producing strains in Slovakia and it contributes to a number of studies mapping the distribution of carbapenemase producers in Europe.",N Kulkova and M Babalova and J Sokolova and V Krcmery,1076-6294,Microb Drug Resist,"*Drug Resistance, Multiple, Bacterial/genetics,Acinetobacter Infections/drug therapy/microbiology,Acinetobacter baumannii/isolation {\&} purification,Adult,Anti-Bacterial Agents/therapeutic use,Bacteremia/*enzymology/epidemiology/microbiology,Coinfection,Disk Diffusion Antimicrobial Tests,Drug Therapy, Combination,Enterococcus faecalis/isolation {\&} purification,Genes, Bacterial,Gram-Negative Bacteria/*enzymology/genetics/isolat,Gram-Negative Bacterial Infections/*enzymology/epi,Gram-Positive Bacterial Infections/drug therapy/mi,Humans,Pneumonia, Ventilator-Associated/drug therapy/micr,Pseudomonas Infections/drug therapy/microbiology,Slovakia,beta-Lactamases/*analysis/genetics",117--120,{First report of New Delhi metallo-beta-lactamase-1-producing strains in Slovakia},NA,21,2015,1,"1931-8448

kulkova, nada

babalova, marta

sokolova, jaroslava

krcmery, vladimir

case reports

journal article

research support, non-u.s. gov't

united states

microb drug resist. 2015 feb;21(1):117-20. doi: 10.1089/mdr.2013.0162. epub 2014 oct 24.",10.1089/mdr.2013.0162,10/25/14,eng,25343711,yes,erica,yes,zach,zach,zach_4,yes,zm_4.csv,NA,NA,zm_4_2.mex,yes,journal
11315,yes,kutsuna2016,article,"This clinical case report concerns a pediatric patient with acute enteritis caused by multi-drug resistant Salmonella enterica serovar Blockley (Salmonella Blockley). A 3-year-old boy presented to our emergency room with a 5-day history of fever, abdominal pain, and bloody diarrhea. Stool culture tested positive for a Salmonella species, while the blood culture was negative. The patient was successfully treated with an oral antibiotic regimen of fosfomycin. The stool isolate was found to be resistant to multiple drugs, including cefpodoxime, cefotaxime, ceftazidime, and aztreonam, and was confirmed to be a CTX-M-15 extended-spectrum $\beta$-lactamase (ESBL)-producing strain of Salmonella Blockley. This is the first report of a pediatric patient in Japan with acute enteritis caused by a CTX-M-15 ESBL-producing strain of Salmonella Blockley.",S Kutsuna and S Yonetani and K Araki and H Izumiya,0368-2781,Japanese Journal of Antibiotics,"C reactive protein,Salmonella,abdominal pain,acute disease,ampicillin,antibiotic resistance,antibiotic sensitivity,antibiotic therapy,article,aztreonam,beta lactamase CTX M,blood culture,bloody diarrhea,case report,cefazolin,cefepime,cefotaxime,cefpodoxime,ceftazidime,child,ciprofloxacin,cotrimoxazole,disease duration,emergency ward,enteritis,extended spectrum beta lactamase Salmonella Blockl,feces culture,fever,follow up,fosfomycin,hemoglobin,human,leukocyte count,levofloxacin,male,meropenem,minocycline,physical examination,piperacillin plus tazobactam,polymerase chain reaction,preschool child,spectrum,sultamicillin,thrombocyte count,treatment duration",343--346,{A case of pediatric patient with acute enteritis due to CTX-M-15 extended-spectrum $\beta$-lactamase-producing Salmonella Blockley},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l613536744 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=03682781{\&}id=doi:{\&}atitle=a+case+of+pediatric+patient+with+acute+enteritis+due+to+ctx-m-15+extended-spectrum+$\beta$-,69,2016,5,NA,NA,NA,NA,NA,yes,jake,no,mushtaq,allison,zach_4,no,zm_4.csv,could not find full-text,NA,NA,no,journal
11510,maybe,langevin2011,article,"We describe the first case of invasive human infection (a nosocomial septicemia) caused by Cupriavidus metallidurans. This metal-resistant bacterium has not been reported to be pathogenic in humans or animals. Copyright {\textcopyright} 2011, American Society for Microbiology. All Rights Reserved.",S Langevin and J Vincelette and S Bekal and C Gaudreau,0095-1137,J Clin Microbiol,",16S/genetics,Aged,Anti-Bacterial Agents/pharmacology,Bacterial/chemistry/genetics,Cross Infection/diagnosis/microbiology,Cupriavidus,Cupriavidus metallidurans,Cupriavidus/*classification/*isolation {\&} purificat,DNA,Gram-Negative Bacterial Infections/*diagnosis/micr,Humans,Male,Microbial Sensitivity Tests,Molecular Sequence Data,RNA,Ribosomal,Ribosomal/chemistry/genetics,Sepsis/*diagnosis/*microbiology,Sequence Analysis,abdominal drainage,abdominal injury,aged,antibiotic sensitivity,antiinfective agent,arteriosclerosis,article,bacteremia,bacterium culture,bladder carcinoma,case report,ceftazidime,ciprofloxacin,computer assisted tomography,cystectomy,dyslipidemia,gentamicin,hospital infection,human,hypertension,ileostomy,leukocytosis,male,meropenem,minimum inhibitory concentration,neuroendocrine tumor,non insulin dependent diabetes mellitus,nucleotide sequence,obesity,pancreas resection,pancreas tumor,piperacillin,piperacillin plus tazobactam,priority journal,septicemia,splenectomy,thorax radiography,tobramycin",744--745,{First case of invasive human infection caused by Cupriavidus metallidurans},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l361252314 http://dx.doi.org/10.1128/jcm.01947-10 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=00951137{\&}id=doi:10.1128{\%}2fjcm.01947-10{\&}atitle=first+case+of+invasive+h,49,2011,2,"from duplicate 2 (first case of invasive human infection caused by cupriavidus metallidurans - langevin, s; vincelette, j; bekal, s; gaudreau, c)

1098-660x
langevin, stephanie
vincelette, jean
bekal, sadjia
gaudreau, christiane
case reports
journal article
united states
j clin microbiol. 2011 feb;49(2):744-5. doi: 10.1128/jcm.01947-10. epub 2010 nov 24.",10.1128/jcm.01947-10,11/26/10,eng,21106795,no,jake,maybe,brooke,mushtaq,zach_4,yes,zm_4.csv,NA,NA,zm_4_2.mex,yes,journal
11609,maybe,laurent2012,article,We describe human cases and clustered animal cases of mecALGA251-positive methicillin-resistant Staphylococcus aureus in France. Our report confirms that this new variant has a large distribution in Europe. It may represent a public health threat because phenotypic and genotypic tests seem unable to detect this new resistance mechanism.,F Laurent and H Chardon and M Haenni and M Bes and M E Reverdy and J Y Madec and E Lagier and F Vandenesch and A Tristan,"1080-6040
1080-6059",Emerging Infectious Diseases,"DNA microarray,France,Staphylococcus infection,aged,antibiotic sensitivity,article,bacterial gene,bacterium identification,case report,cefoxitin,cephalosporin derivative,clindamycin,cow,disk diffusion,follow up,genotype,human,hygiene,infectious arthritis,knee arthroplasty,latamoxef,male,mastitis,mecA gene,methicillin resistant Staphylococcus aureus,minimum inhibitory concentration,neomycin,nonhuman,ofloxacin,oxacillin,penicillin resistance,rifampicin,spiramycin,tendinitis,treatment outcome",1465--1467,"{MRSA harboring mecA variant gene mecC, France}",http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l365514685 http://dx.doi.org/10.3201/eid1809.111920 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=10806040{\&}id=doi:10.3201{\%}2feid1809.111920{\&}atitle=mrsa+harboring+meca+,18,2012,9,NA,NA,NA,NA,NA,maybe,brooke,maybe,erica,erica,zach_4,yes,zm_4.csv,NA,NA,zm_4_2.mex,yes,journal
11621,yes,lavania2015,article,NA,M Lavania and A Nigam and R P Turankar and I Singh and P Gupta and S Kumar and U Sengupta and A S John,1198-743x,Clin Microbiol Infect,"*Drug Resistance, Bacterial,Adult,DNA-Directed RNA Polymerases/genetics,Genes, Bacterial,Humans,India/epidemiology,Leprosy/drug therapy/epidemiology/*microbiology,Male,Middle Aged,Mutation,Mycobacterium leprae/drug effects/*isolation {\&} pur,Rifampin/*therapeutic use",e85--6,{Emergence of primary drug resistance to rifampicin in Mycobacterium leprae strains from leprosy patients in India},NA,21,2015,12,"1469-0691
lavania, m
nigam, a
turankar, r p
singh, i
gupta, p
kumar, s
sengupta, u
john, a s
letter
research support, non-u.s. gov't
england
clin microbiol infect. 2015 dec;21(12):e85-6. doi: 10.1016/j.cmi.2015.08.004. epub 2015 aug 24.",10.1016/j.cmi.2015.08.004,9/1/15,eng,26314915,yes,erica,yes,allison,allison,zach_4,yes,zm_4.csv,NA,NA,zm_4_2.mex,yes,journal
11669,maybe,lehello2008,article,NA,S {Le Hello} and S Page and B Garin,"0924-8579 (print)

0924-8579",Int J Antimicrob Agents,",*Drug Resistance,Amino Acid Substitution,Anti-Bacterial Agents/*pharmacology,Bacterial,Bacterial Proteins/genetics,Bacterial/chemistry/genetics,DNA,Fluoroquinolones/*pharmacology,Humans,Male,Microbial Sensitivity Tests,Missense,Molecular Sequence Data,Mutation,New Caledonia,Pneumococcal Infections/*microbiology,Pseudomonas aeruginosa,Sequence Analysis,Streptococcus pneumoniae,Streptococcus pneumoniae/*drug effects/isolation {\&},aged,anamnesis,antibiotic resistance,antibiotic sensitivity,antiinfective agent,bacterium culture,bacterium isolation,bronchitis,case report,ciprofloxacin,clinical examination,clinical feature,cotrimoxazole,hospital discharge,human,letter,levofloxacin,male,norfloxacin,nucleotide sequence,pathogenesis,penicillin G,pneumonia,prednisolone,priority journal,pristinamycin,quinoline derived antiinfective agent",91--92,{Fluoroquinolone resistance in a clinical isolate of Streptococcus pneumoniae in the South Pacific},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l50152553 http://dx.doi.org/10.1016/j.ijantimicag.2008.02.015 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=09248579{\&}id=doi:10.1016{\%}2fj.ijantimicag.2008.02.015{\&}atitle,32,2008,1,"from duplicate 2 (fluoroquinolone resistance in a clinical isolate of streptococcus pneumoniae in the south pacific - le hello, s; page, s; garin, b)



le hello, s

page, s

garin, b

case reports

letter

netherlands

int j antimicrob agents. 2008 jul;32(1):91-2. doi: 10.1016/j.ijantimicag.2008.02.015. epub 2008 may 20.",10.1016/j.ijantimicag.2008.02.015,5/23/08,eng,18495439,no,cale,maybe,brooke,ayomide,zach_4,yes,zm_4.csv,NA,NA,zm_4_2.mex,yes,journal
11964,yes,leverstein-vanhall2010,article,"This is the first report of 3 patients in whom carbapenemase-producing Klebsiella pneumoniae was identified in the Netherlands following foreign travel. They were a 55-year-old man who had undergone chemotherapy for lung cancer metastases, a 66-year-old woman and a 30-year-old man. The first patient was transferred from a Greek hospital; his isolate belonged to an epidemic clone (multilocus sequence type 258) with a KPC-2 carbapenemase gene. The patient died from pneumonia. The other two patients, who had been travelling around in India, were found to be colonised in the gasto-intestinal tract with different multiresistant K. pneumoniae isolates containing a New Delhi metallo-carbapenemase gene (NDM-1). The rapid emergence and dissemination of Enterobacteriaceae resistant to carbapenems such as imipenem and meropenem poses a considerable threat to clinical patient care and public health. Carbapenemase-producing strains are characterized by resistance to nearly all available beta-lactam antibiotics including cephalosporins and carbapenems. These strains are often also resistant to other classes of antibiotics. Invasive infections by these strains are associated with high morbidity and mortality rates. Adequate microbiological laboratory detection and infection control measures in hospital are pivotal to preventing dissemination in the Dutch healthcare setting.",M A {Leverstein-van Hall} and J C Stuart and G M Voets and D Versteeg and E Roelofsen and A C Fluit,0028-2162,Ned Tijdschr Geneeskd,"*Drug Resistance, Bacterial,*Travel,Adult,Aged,Anti-Bacterial Agents/therapeutic use,Bacterial Proteins,Bacterial Typing Techniques,Carbapenems/*pharmacology,Female,Humans,Klebsiella Infections/diagnosis/*drug therapy,Klebsiella pneumoniae/*drug effects/genetics,Male,Microbial Sensitivity Tests,Middle Aged,Mutation,beta-Lactamases",a2013,{[Carbapenem-resistant Klebsiella pneumoniae following foreign travel]},NA,154,2010,NA,"1876-8784
